dataset,model,variant,feature,importance
insurance,Random Forest,Underfit,cat__REGION_southwest,0.008792950083023783
insurance,Random Forest,Underfit,cat__BMI_CATEGORY_0_UNDERWEIGHT,0.00605956805344946
insurance,Random Forest,Underfit,cat__BMI_CATEGORY_1_HEALTHY,0.018783310960254828
insurance,Random Forest,Underfit,cat__BMI_CATEGORY_2_OVERWEIGHT,0.016920990437788608
insurance,Random Forest,Underfit,cat__BMI_CATEGORY_3_OBESITY,0.03472310853910251
insurance,Random Forest,Underfit,cat__HAS_CHILDREN_False,0.038539524605132644
insurance,Random Forest,Underfit,cat__HAS_CHILDREN_True,0.03295410800518441
insurance,Random Forest,Underfit,num__AGE,0.45617933616433454
insurance,Random Forest,Overfit,cat__SEX_female,0.010220069936892074
insurance,Random Forest,Overfit,cat__SEX_male,0.011034923663401076
insurance,Random Forest,Overfit,cat__SMOKER_no,0.09977549629795246
insurance,Random Forest,Overfit,cat__SMOKER_yes,0.09660487126587713
insurance,Random Forest,Overfit,cat__REGION_northeast,0.014325169641754227
insurance,Random Forest,Overfit,cat__REGION_northwest,0.011644350473529949
insurance,Random Forest,Overfit,cat__REGION_southeast,0.013262643919598183
insurance,Random Forest,Overfit,cat__REGION_southwest,0.012217048037877262
insurance,Random Forest,Overfit,cat__BMI_CATEGORY_0_UNDERWEIGHT,0.004516756853239982
insurance,Random Forest,Overfit,cat__BMI_CATEGORY_1_HEALTHY,0.016969815339854664
insurance,Random Forest,Overfit,cat__BMI_CATEGORY_2_OVERWEIGHT,0.018194641159267468
insurance,Random Forest,Overfit,cat__BMI_CATEGORY_3_OBESITY,0.02954975152241053
insurance,Random Forest,Overfit,cat__HAS_CHILDREN_False,0.023068339969080292
insurance,Random Forest,Overfit,cat__HAS_CHILDREN_True,0.02241696607170742
insurance,Random Forest,Overfit,num__AGE,0.6161991558475574
personality,XGBoost,Optimal,cat__STAGE_FEAR_No,0.04953356832265854
personality,XGBoost,Optimal,cat__STAGE_FEAR_Yes,0.0
personality,XGBoost,Optimal,cat__SOCIAL_DRAIN_No,0.03801653906702995
personality,XGBoost,Optimal,cat__SOCIAL_DRAIN_Yes,0.0
personality,XGBoost,Optimal,cat__TIME_ALONE_0_LOW,0.01869039237499237
personality,XGBoost,Optimal,cat__TIME_ALONE_1_MEDIUM,0.0
personality,XGBoost,Optimal,cat__TIME_ALONE_2_HIGH,0.06083086133003235
personality,XGBoost,Optimal,cat__EVENT_ATTENDANCE_0_RARE,0.1794147491455078
personality,XGBoost,Optimal,cat__EVENT_ATTENDANCE_1_MODERATE,0.0
personality,XGBoost,Optimal,cat__EVENT_ATTENDANCE_2_FREQUENT,0.08196649700403214
personality,XGBoost,Optimal,num__GOING_OUTSIDE,0.3421132266521454
personality,XGBoost,Optimal,num__FRIEND_CIRCLE,0.14924809336662292
personality,XGBoost,Optimal,num__POST_FREQUENCY,0.08018607646226883
personality,XGBoost,Underfit,cat__STAGE_FEAR_No,0.0
personality,XGBoost,Underfit,cat__STAGE_FEAR_Yes,0.0
personality,XGBoost,Underfit,cat__SOCIAL_DRAIN_No,0.0
personality,XGBoost,Underfit,cat__SOCIAL_DRAIN_Yes,0.0
personality,XGBoost,Underfit,cat__TIME_ALONE_0_LOW,0.0
personality,XGBoost,Underfit,cat__TIME_ALONE_1_MEDIUM,0.0
personality,XGBoost,Underfit,cat__TIME_ALONE_2_HIGH,0.0
personality,XGBoost,Underfit,cat__EVENT_ATTENDANCE_0_RARE,0.0
personality,XGBoost,Underfit,cat__EVENT_ATTENDANCE_1_MODERATE,0.0
personality,XGBoost,Underfit,cat__EVENT_ATTENDANCE_2_FREQUENT,0.0
personality,XGBoost,Underfit,num__GOING_OUTSIDE,1.0
personality,XGBoost,Underfit,num__FRIEND_CIRCLE,0.0
personality,XGBoost,Underfit,num__POST_FREQUENCY,0.0
personality,XGBoost,Overfit,cat__STAGE_FEAR_No,0.0012759541859850287
personality,XGBoost,Overfit,cat__STAGE_FEAR_Yes,0.0
personality,XGBoost,Overfit,cat__SOCIAL_DRAIN_No,0.001829356886446476
personality,XGBoost,Overfit,cat__SOCIAL_DRAIN_Yes,0.0
personality,XGBoost,Overfit,cat__TIME_ALONE_0_LOW,0.0014737164601683617
personality,XGBoost,Overfit,cat__TIME_ALONE_1_MEDIUM,0.00026931386673823
personality,XGBoost,Overfit,cat__TIME_ALONE_2_HIGH,0.07685219496488571
personality,XGBoost,Overfit,cat__EVENT_ATTENDANCE_0_RARE,0.49050021171569824
personality,XGBoost,Overfit,cat__EVENT_ATTENDANCE_1_MODERATE,0.0007730363286100328
personality,XGBoost,Overfit,cat__EVENT_ATTENDANCE_2_FREQUENT,0.3183360695838928
personality,XGBoost,Overfit,num__GOING_OUTSIDE,0.0766105130314827
personality,XGBoost,Overfit,num__FRIEND_CIRCLE,0.021974850445985794
personality,XGBoost,Overfit,num__POST_FREQUENCY,0.010104740038514137
personality,Decision Tree,Optimal,cat__STAGE_FEAR_No,0.0022240791208279183
personality,Decision Tree,Optimal,cat__STAGE_FEAR_Yes,0.0011362973716899315
personality,Decision Tree,Optimal,cat__SOCIAL_DRAIN_No,0.007578807547384439
personality,Decision Tree,Optimal,cat__SOCIAL_DRAIN_Yes,0.0
personality,Decision Tree,Optimal,cat__TIME_ALONE_0_LOW,0.0016712348598440267
personality,Decision Tree,Optimal,cat__TIME_ALONE_1_MEDIUM,0.0003095900545848459
personality,Decision Tree,Optimal,cat__TIME_ALONE_2_HIGH,0.0017474907377933678
personality,Decision Tree,Optimal,cat__EVENT_ATTENDANCE_0_RARE,0.011889588365823864
personality,Decision Tree,Optimal,cat__EVENT_ATTENDANCE_1_MODERATE,0.0022658069993943385
personality,Decision Tree,Optimal,cat__EVENT_ATTENDANCE_2_FREQUENT,0.0673749378079041
personality,Decision Tree,Optimal,num__GOING_OUTSIDE,0.4524858594043339
personality,Decision Tree,Optimal,num__FRIEND_CIRCLE,0.2964749925052678
personality,Decision Tree,Optimal,num__POST_FREQUENCY,0.15484131522515154
personality,Decision Tree,Underfit,cat__STAGE_FEAR_No,0.0
personality,Decision Tree,Underfit,cat__STAGE_FEAR_Yes,0.0
personality,Decision Tree,Underfit,cat__SOCIAL_DRAIN_No,0.007952122123534647
personality,Decision Tree,Underfit,cat__SOCIAL_DRAIN_Yes,0.0
personality,Decision Tree,Underfit,cat__TIME_ALONE_0_LOW,0.0
personality,Decision Tree,Underfit,cat__TIME_ALONE_1_MEDIUM,0.0
personality,Decision Tree,Underfit,cat__TIME_ALONE_2_HIGH,0.0
personality,Decision Tree,Underfit,cat__EVENT_ATTENDANCE_0_RARE,0.0
personality,Decision Tree,Underfit,cat__EVENT_ATTENDANCE_1_MODERATE,0.0
personality,Decision Tree,Underfit,cat__EVENT_ATTENDANCE_2_FREQUENT,0.07069367181634117
personality,Decision Tree,Underfit,num__GOING_OUTSIDE,0.47456929199053155
personality,Decision Tree,Underfit,num__FRIEND_CIRCLE,0.29670448773190067
personality,Decision Tree,Underfit,num__POST_FREQUENCY,0.1500804263376919
personality,Decision Tree,Overfit,cat__STAGE_FEAR_No,0.0
personality,Decision Tree,Overfit,cat__STAGE_FEAR_Yes,0.0033455474420768074
personality,Decision Tree,Overfit,cat__SOCIAL_DRAIN_No,0.007545362926029255
personality,Decision Tree,Overfit,cat__SOCIAL_DRAIN_Yes,0.0
personality,Decision Tree,Overfit,cat__TIME_ALONE_0_LOW,0.002042937249314339
personality,Decision Tree,Overfit,cat__TIME_ALONE_1_MEDIUM,9.076303584009594e-05
personality,Decision Tree,Overfit,cat__TIME_ALONE_2_HIGH,0.0017397792125063377
personality,Decision Tree,Overfit,cat__EVENT_ATTENDANCE_0_RARE,0.00011772439115767523
