dataset,feature,model,variant,split,random,majority,accuracy,duration
insurance,HAS_CHILDREN,Decision Tree,Optimal,Train,0.5100824245186689,0.5710014947683109,0.49906542056074765,0.7158377170562744
insurance,HAS_CHILDREN,Decision Tree,Optimal,Test,0.5100824245186689,0.5710014947683109,0.4925373134328358,0.18867230415344238
insurance,HAS_CHILDREN,Decision Tree,Underfit,Train,0.5100824245186689,0.5710014947683109,0.43177570093457945,0.7133040428161621
insurance,HAS_CHILDREN,Decision Tree,Underfit,Test,0.5100824245186689,0.5710014947683109,0.417910447761194,0.20714068412780762
insurance,HAS_CHILDREN,Decision Tree,Overfit,Train,0.5100824245186689,0.5710014947683109,0.4766355140186916,0.7094249725341797
insurance,HAS_CHILDREN,Decision Tree,Overfit,Test,0.5100824245186689,0.5710014947683109,0.4962686567164179,0.18394804000854492
insurance,HAS_CHILDREN,Random Forest,Optimal,Train,0.5100824245186689,0.5710014947683109,0.6626168224299065,15.488918542861938
insurance,HAS_CHILDREN,Random Forest,Optimal,Test,0.5100824245186689,0.5710014947683109,0.582089552238806,3.9565110206604004
insurance,HAS_CHILDREN,Random Forest,Underfit,Train,0.5100824245186689,0.5710014947683109,0.6616822429906543,3.9626622200012207
insurance,HAS_CHILDREN,Random Forest,Underfit,Test,0.5100824245186689,0.5710014947683109,0.6305970149253731,1.2769525051116943
insurance,HAS_CHILDREN,Random Forest,Overfit,Train,0.5100824245186689,0.5710014947683109,0.6598130841121496,31.568336486816406
insurance,HAS_CHILDREN,Random Forest,Overfit,Test,0.5100824245186689,0.5710014947683109,0.5298507462686567,8.125533819198608
personality,STAGE_FEAR,XGBoost,Optimal,Train,0.50536648,0.5518,0.7195,5.06915020942688
personality,STAGE_FEAR,XGBoost,Optimal,Test,0.50536648,0.5518,0.684,0.9172565937042236
personality,STAGE_FEAR,XGBoost,Underfit,Train,0.50536648,0.5518,0.4545,3.217688798904419
personality,STAGE_FEAR,XGBoost,Underfit,Test,0.50536648,0.5518,0.423,0.8410851955413818
personality,STAGE_FEAR,XGBoost,Overfit,Train,0.50536648,0.5518,0.71175,3.581942558288574
personality,STAGE_FEAR,XGBoost,Overfit,Test,0.50536648,0.5518,0.691,1.0354900360107422
personality,STAGE_FEAR,Decision Tree,Optimal,Train,0.50536648,0.5518,0.45825,2.5384809970855713
personality,STAGE_FEAR,Decision Tree,Optimal,Test,0.50536648,0.5518,0.446,0.6603188514709473
personality,STAGE_FEAR,Decision Tree,Underfit,Train,0.50536648,0.5518,0.4545,2.489781141281128
personality,STAGE_FEAR,Decision Tree,Underfit,Test,0.50536648,0.5518,0.423,0.6521387100219727
personality,STAGE_FEAR,Decision Tree,Overfit,Train,0.50536648,0.5518,0.45475,2.4921674728393555
personality,STAGE_FEAR,Decision Tree,Overfit,Test,0.50536648,0.5518,0.43,0.6327991485595703
personality,STAGE_FEAR,Random Forest,Optimal,Train,0.50536648,0.5518,0.55725,4.22236180305481
personality,STAGE_FEAR,Random Forest,Optimal,Test,0.50536648,0.5518,0.514,1.1315839290618896
personality,STAGE_FEAR,Random Forest,Underfit,Train,0.50536648,0.5518,0.61325,3.3132991790771484
personality,STAGE_FEAR,Random Forest,Underfit,Test,0.50536648,0.5518,0.62,0.8297181129455566
personality,STAGE_FEAR,Random Forest,Overfit,Train,0.50536648,0.5518,0.5535,7.606245756149292
personality,STAGE_FEAR,Random Forest,Overfit,Test,0.50536648,0.5518,0.515,2.3252556324005127
personality,SOCIAL_DRAIN,XGBoost,Optimal,Train,0.50512072,0.5506,0.7385,3.2235326766967773
personality,SOCIAL_DRAIN,XGBoost,Optimal,Test,0.50512072,0.5506,0.751,0.8985681533813477
personality,SOCIAL_DRAIN,XGBoost,Underfit,Train,0.50512072,0.5506,0.449,3.0351405143737793
personality,SOCIAL_DRAIN,XGBoost,Underfit,Test,0.50512072,0.5506,0.451,0.8316216468811035
personality,SOCIAL_DRAIN,XGBoost,Overfit,Train,0.50512072,0.5506,0.68075,3.4616963863372803
personality,SOCIAL_DRAIN,XGBoost,Overfit,Test,0.50512072,0.5506,0.673,0.9891486167907715
personality,SOCIAL_DRAIN,Decision Tree,Optimal,Train,0.50512072,0.5506,0.45875,2.448052167892456
personality,SOCIAL_DRAIN,Decision Tree,Optimal,Test,0.50512072,0.5506,0.453,0.6422834396362305
personality,SOCIAL_DRAIN,Decision Tree,Underfit,Train,0.50512072,0.5506,0.5585,2.466644763946533
personality,SOCIAL_DRAIN,Decision Tree,Underfit,Test,0.50512072,0.5506,0.57,0.6325204372406006
personality,SOCIAL_DRAIN,Decision Tree,Overfit,Train,0.50512072,0.5506,0.45,2.4411303997039795
personality,SOCIAL_DRAIN,Decision Tree,Overfit,Test,0.50512072,0.5506,0.452,0.6307604312896729
personality,SOCIAL_DRAIN,Random Forest,Optimal,Train,0.50512072,0.5506,0.52975,4.164777994155884
personality,SOCIAL_DRAIN,Random Forest,Optimal,Test,0.50512072,0.5506,0.514,1.107853651046753
personality,SOCIAL_DRAIN,Random Forest,Underfit,Train,0.50512072,0.5506,0.50625,3.156115770339966
personality,SOCIAL_DRAIN,Random Forest,Underfit,Test,0.50512072,0.5506,0.465,0.8123035430908203
personality,SOCIAL_DRAIN,Random Forest,Overfit,Train,0.50512072,0.5506,0.54575,7.470958471298218
personality,SOCIAL_DRAIN,Random Forest,Overfit,Test,0.50512072,0.5506,0.536,2.2616312503814697
personality,TIME_ALONE,XGBoost,Optimal,Train,0.35904200000000003,0.441,0.4835,3.3454742431640625
personality,TIME_ALONE,XGBoost,Optimal,Test,0.35904200000000003,0.441,0.451,0.834416389465332
personality,TIME_ALONE,XGBoost,Underfit,Train,0.35904200000000003,0.441,0.34275,3.121980905532837
personality,TIME_ALONE,XGBoost,Underfit,Test,0.35904200000000003,0.441,0.349,0.8641765117645264
personality,TIME_ALONE,XGBoost,Overfit,Train,0.35904200000000003,0.441,0.48325,3.6016430854797363
personality,TIME_ALONE,XGBoost,Overfit,Test,0.35904200000000003,0.441,0.445,1.0044727325439453
personality,TIME_ALONE,Decision Tree,Optimal,Train,0.35904200000000003,0.441,0.351,2.4660494327545166
personality,TIME_ALONE,Decision Tree,Optimal,Test,0.35904200000000003,0.441,0.355,0.6429932117462158
personality,TIME_ALONE,Decision Tree,Underfit,Train,0.35904200000000003,0.441,0.34275,2.4628829956054688
personality,TIME_ALONE,Decision Tree,Underfit,Test,0.35904200000000003,0.441,0.349,0.6444394588470459
personality,TIME_ALONE,Decision Tree,Overfit,Train,0.35904200000000003,0.441,0.346,2.448780059814453
personality,TIME_ALONE,Decision Tree,Overfit,Test,0.35904200000000003,0.441,0.354,0.6478726863861084
personality,TIME_ALONE,Random Forest,Optimal,Train,0.35904200000000003,0.441,0.39725,4.174652338027954
personality,TIME_ALONE,Random Forest,Optimal,Test,0.35904200000000003,0.441,0.371,1.1154258251190186
personality,TIME_ALONE,Random Forest,Underfit,Train,0.35904200000000003,0.441,0.4655,3.139667272567749
personality,TIME_ALONE,Random Forest,Underfit,Test,0.35904200000000003,0.441,0.452,0.8156981468200684
personality,TIME_ALONE,Random Forest,Overfit,Train,0.35904200000000003,0.441,0.41875,7.512542247772217
personality,TIME_ALONE,Random Forest,Overfit,Test,0.35904200000000003,0.441,0.386,2.24320650100708
personality,EVENT_ATTENDANCE,XGBoost,Optimal,Train,0.36990024,0.4846,0.5085,3.424945592880249
personality,EVENT_ATTENDANCE,XGBoost,Optimal,Test,0.36990024,0.4846,0.511,0.851032018661499
personality,EVENT_ATTENDANCE,XGBoost,Underfit,Train,0.36990024,0.4846,0.48575,3.1958630084991455
personality,EVENT_ATTENDANCE,XGBoost,Underfit,Test,0.36990024,0.4846,0.48,0.794560432434082
personality,EVENT_ATTENDANCE,XGBoost,Overfit,Train,0.36990024,0.4846,0.5015,3.461259126663208
personality,EVENT_ATTENDANCE,XGBoost,Overfit,Test,0.36990024,0.4846,0.503,1.0282437801361084
personality,EVENT_ATTENDANCE,Decision Tree,Optimal,Train,0.36990024,0.4846,0.47575,2.4755446910858154
personality,EVENT_ATTENDANCE,Decision Tree,Optimal,Test,0.36990024,0.4846,0.461,0.6334986686706543
personality,EVENT_ATTENDANCE,Decision Tree,Underfit,Train,0.36990024,0.4846,0.401,2.460216522216797
personality,EVENT_ATTENDANCE,Decision Tree,Underfit,Test,0.36990024,0.4846,0.382,0.6502902507781982
personality,EVENT_ATTENDANCE,Decision Tree,Overfit,Train,0.36990024,0.4846,0.47775,2.4433095455169678
personality,EVENT_ATTENDANCE,Decision Tree,Overfit,Test,0.36990024,0.4846,0.472,0.6519057750701904
