Dataset,Feature,Model,Variant,Data,Attack_Accuracy,Random_Baseline,Majority_Baseline,Successful_Attack,Improvement_Over_Baseline
insurance,BMI_CATEGORY,DecisionTree,Underfitted,Test,0.2723880597014925,0.25,0.5351270553064275,False,0.5090156758108897
insurance,BMI_CATEGORY,DecisionTree,Optimal,Train,0.302803738317757,0.25,0.5351270553064275,False,0.5658539132250823
insurance,BMI_CATEGORY,DecisionTree,Optimal,Test,0.2798507462686567,0.25,0.5351270553064275,False,0.5229613107646127
insurance,BMI_CATEGORY,DecisionTree,Overfitted,Train,0.2794392523364486,0.25,0.5351270553064275,False,0.5221923458466038
insurance,BMI_CATEGORY,DecisionTree,Overfitted,Test,0.2686567164179104,0.25,0.5351270553064275,False,0.5020428583340282
insurance,BMI_CATEGORY,RandomForest,Underfitted,Train,0.2130841121495327,0.25,0.5351270553064275,False,0.3981934944917246
insurance,BMI_CATEGORY,RandomForest,Underfitted,Test,0.1977611940298507,0.25,0.5351270553064275,False,0.3695593262736596
insurance,BMI_CATEGORY,RandomForest,Optimal,Train,0.5196261682242991,0.25,0.5351270553064275,False,0.9710332584973634
insurance,BMI_CATEGORY,RandomForest,Optimal,Test,0.458955223880597,0.25,0.5351270553064275,False,0.8576565496539649
insurance,BMI_CATEGORY,RandomForest,Overfitted,Train,0.5383177570093458,0.25,0.5351270553064275,True,1.0059625124001463
insurance,BMI_CATEGORY,RandomForest,Overfitted,Test,0.3917910447761194,0.25,0.5351270553064275,False,0.7321458350704578
insurance,BMI_CATEGORY,NeuralNetwork,Underfitted,Train,0.2953271028037383,0.25,0.5351270553064275,False,0.5518822116639691
insurance,BMI_CATEGORY,NeuralNetwork,Underfitted,Test,0.3208955223880597,0.25,0.5351270553064275,False,0.5996623030100893
insurance,BMI_CATEGORY,NeuralNetwork,Optimal,Train,0.1841121495327102,0.25,0.5351270553064275,False,0.344053150942411
insurance,BMI_CATEGORY,NeuralNetwork,Optimal,Test,0.1604477611940298,0.25,0.5351270553064275,False,0.2998311515050445
insurance,BMI_CATEGORY,NeuralNetwork,Overfitted,Train,0.1607476635514018,0.25,0.5351270553064275,False,0.3003915835639324
insurance,BMI_CATEGORY,NeuralNetwork,Overfitted,Test,0.1567164179104477,0.25,0.5351270553064275,False,0.292858334028183
insurance,HAS_CHILDREN,XGBoost,Underfitted,Train,0.5822429906542056,0.5,0.5710014947683109,True,1.0196873318001665
insurance,HAS_CHILDREN,XGBoost,Underfitted,Test,0.6082089552238806,0.5,0.5710014947683109,True,1.0651617566617178
insurance,HAS_CHILDREN,XGBoost,Optimal,Train,0.5439252336448598,0.5,0.5710014947683109,False,0.9525811029016
insurance,HAS_CHILDREN,XGBoost,Optimal,Test,0.4813432835820895,0.5,0.5710014947683109,False,0.8429807767445495
insurance,HAS_CHILDREN,XGBoost,Overfitted,Train,0.5663551401869159,0.5,0.5710014947683109,False,0.9918627978666146
